code,clientType,registrationMode,planName,duration,country,netSales,netProfit,gender,age
CBH,Basic,Offline,M,186,MALAYSIA,-29,9.57,F,81
CBH,Basic,Offline,M,186,MALAYSIA,-29,9.57,F,71
CWT,Basic,Online,Q,65,AUSTRALIA,-49.5,29.7,,32
CWT,Basic,Online,Q,60,AUSTRALIA,-39.6,23.76,,32
CWT,Basic,Online,Q,79,ITALY,-19.8,11.88,,41
JZI,Premium,Online,Z,66,UNITED STATES,-121,42.35,F,44
CWT,Basic,Online,Q,63,AUSTRALIA,-108.9,65.34,,29
CWT,Basic,Online,Q,57,THAILAND,-19.8,11.88,,44
CWT,Basic,Online,Q,186,AUSTRALIA,-99,59.4,,37
JZI,Premium,Online,I,33,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",-26,9.1,,118
JZI,Premium,Online,I,1,MALAYSIA,-18,6.3,M,47
KML,Basic,Online,P,53,NORWAY,-130,49.4,F,48
CWT,Basic,Online,Q,5,MALAYSIA,-39.6,23.76,,64
EPX,Basic,Online,B,39,VIET NAM,-25,0,,36
CWT,Basic,Online,Q,6,DENMARK,-19.8,11.88,,53
CWT,Basic,Online,Q,48,DENMARK,-79.2,47.52,,43
CWT,Basic,Online,Q,11,UNITED STATES,-29.7,17.82,,58
JZI,Premium,Online,I,3,MALAYSIA,-18,6.3,M,47
CWT,Basic,Online,Q,14,THAILAND,-69.3,41.58,,37
C2B,Premium,Online,J,12,SINGAPORE,46.15,11.54,F,44
C2B,Premium,Online,J,7,SINGAPORE,17.55,4.39,F,25
C2B,Premium,Online,J,12,SINGAPORE,94,23.5,M,34
C2B,Premium,Online,R,190,SINGAPORE,294.75,73.69,M,26
C2B,Premium,Online,E,364,SINGAPORE,389,97.25,F,30
CWT,Basic,Online,Q,29,UNITED STATES,9.9,5.94,,33
CWT,Basic,Online,Q,28,UNITED STATES,9.9,5.94,,33
CWT,Basic,Online,Q,153,JAPAN,69.3,41.58,,35
CWT,Basic,Online,Q,28,UNITED KINGDOM,19.8,11.88,,31
CWT,Basic,Online,Q,54,AUSTRALIA,0,41.58,,31
CWT,Basic,Online,Q,24,AUSTRALIA,89.1,53.46,,33
EPX,Basic,Online,B,9,INDONESIA,25,0,,36
EPX,Basic,Online,B,12,MALAYSIA,24,0,,36
EPX,Basic,Online,B,45,MALAYSIA,20,0,,36
EPX,Basic,Online,B,35,INDIA,27,0,,36
EPX,Basic,Online,B,28,THAILAND,20,0,,44
EPX,Basic,Online,B,24,CHINA,43,0,,36
EPX,Basic,Online,B,8,FRANCE,78,0,,36
EPX,Basic,Online,B,183,INDONESIA,20,0,,36
EPX,Basic,Online,B,36,"TAIWAN, PROVINCE OF CHINA",22,0,,20
EPX,Basic,Online,B,3,VIET NAM,27,0,,46
EPX,Basic,Online,B,38,SINGAPORE,41,0,,36
EPX,Basic,Online,B,36,UNITED STATES,95,0,,49
EPX,Basic,Online,B,4,THAILAND,20,0,,50
EPX,Basic,Online,B,3,MALAYSIA,20,0,,36
EPX,Basic,Online,B,13,THAILAND,35,0,,36
EPX,Basic,Online,B,11,PHILIPPINES,43,0,,36
EPX,Basic,Online,B,27,INDONESIA,20,0,,62
EPX,Basic,Online,B,16,MYANMAR,47,0,,36
EPX,Basic,Online,B,12,CHINA,29,0,,36
EPX,Basic,Online,B,39,INDONESIA,20,0,,46
EPX,Basic,Online,B,19,MALAYSIA,20,0,,46
EPX,Basic,Online,B,18,HONG KONG,30,0,,36
EPX,Basic,Online,B,189,MALAYSIA,20,0,,46
EPX,Basic,Online,B,105,JAPAN,44,0,,25
EPX,Basic,Online,B,23,"KOREA, REPUBLIC OF",57,0,,36
EPX,Basic,Online,B,57,UNITED ARAB EMIRATES,37,0,,36
EPX,Basic,Online,B,29,"TAIWAN, PROVINCE OF CHINA",46,0,,36
EPX,Basic,Online,K,1,INDIA,10,0,,36
EPX,Basic,Online,K,15,MYANMAR,16,0,,36
EPX,Basic,Online,K,16,JAPAN,28,0,,65
EPX,Basic,Online,K,180,PHILIPPINES,21,0,,36
EPX,Basic,Online,K,90,HONG KONG,37,0,,36
EPX,Basic,Online,K,91,PHILIPPINES,18,0,,36
EPX,Basic,Online,K,2,SINGAPORE,14,0,,31
EPX,Basic,Online,K,17,THAILAND,19,0,,36
EPX,Basic,Online,K,10,PHILIPPINES,37,0,,36
EPX,Basic,Online,K,11,THAILAND,10,0,,64
EPX,Basic,Online,K,279,NAMIBIA,80,0,,36
EPX,Basic,Online,K,36,"TAIWAN, PROVINCE OF CHINA",16,0,,20
EPX,Basic,Online,K,12,UNITED STATES,39,0,,32
EPX,Basic,Online,K,18,VIET NAM,14,0,,36
EPX,Basic,Online,K,6,INDIA,25,0,,43
EPX,Basic,Online,K,18,THAILAND,10,0,,36
EPX,Basic,Online,K,2,HONG KONG,10,0,,36
EPX,Basic,Online,K,39,SINGAPORE,68,0,,36
EPX,Basic,Online,K,4,UNITED STATES,17,0,,35
EPX,Basic,Online,K,38,"KOREA, REPUBLIC OF",0,0,,36
EPX,Basic,Online,K,10,"KOREA, REPUBLIC OF",23,0,,36
EPX,Basic,Online,K,92,NEW ZEALAND,80,0,,36
EPX,Basic,Online,K,22,COSTA RICA,80,0,,24
EPX,Basic,Online,K,10,THAILAND,10,0,,30
EPX,Basic,Online,K,64,MALAYSIA,10,0,,61
EPX,Basic,Online,K,7,MALAYSIA,15,0,,36
EPX,Basic,Online,K,8,VIET NAM,0,0,,36
EPX,Basic,Online,K,37,THAILAND,30,0,,43
EPX,Basic,Online,K,2,"KOREA, REPUBLIC OF",16,0,,36
EPX,Basic,Online,K,31,"KOREA, REPUBLIC OF",58,0,,29
EPX,Basic,Online,K,41,JAPAN,20,0,,40
EPX,Basic,Online,K,6,MALAYSIA,10,0,,29
EPX,Basic,Online,K,8,INDONESIA,17,0,,43
EPX,Basic,Online,K,5,INDONESIA,37,0,,21
EPX,Basic,Online,K,126,CHINA,27,0,,36
EPX,Basic,Online,K,10,MYANMAR,51,0,,36
EPX,Basic,Online,K,29,PHILIPPINES,13,0,,21
EPX,Basic,Online,A,50,AUSTRALIA,24,0,,36
EPX,Basic,Online,A,1,VIET NAM,20,0,,36
EPX,Basic,Online,A,2,CHINA,26,0,,36
EPX,Basic,Online,A,1,SINGAPORE,86,0,,36
EPX,Basic,Online,A,8,NEW ZEALAND,28,0,,36
EPX,Basic,Online,A,19,MALAYSIA,20,0,,62
EPX,Basic,Online,A,24,"KOREA, REPUBLIC OF",90,0,,36
RAB,Premium,Online,Z,4,BRUNEI DARUSSALAM,15,6,M,44
SSI,Premium,Online,W,55,SINGAPORE,21.35,5.98,,48
SSI,Premium,Online,W,15,SINGAPORE,6.5,1.82,,48
JZI,Premium,Online,I,45,AUSTRALIA,26,9.1,M,31
JZI,Premium,Online,I,181,INDONESIA,30,10.5,F,48
JZI,Premium,Online,I,5,INDONESIA,22,7.7,F,29
JZI,Premium,Online,I,22,THAILAND,18,6.3,M,66
JZI,Premium,Online,I,76,AUSTRALIA,35,12.25,M,57
JZI,Premium,Online,I,41,CHINA,44,15.4,F,37
JZI,Premium,Online,I,43,THAILAND,22,7.7,F,34
JZI,Premium,Online,I,5,CHINA,22,7.7,M,41
ART,Premium,Online,C,56,PHILIPPINES,75.96,26.59,F,48
ART,Premium,Online,C,3,SINGAPORE,12.5,4.38,M,48
ART,Premium,Online,C,3,MALAYSIA,4.99,1.75,M,48
C2B,Premium,Online,J,20,SINGAPORE,47,11.75,M,30
C2B,Premium,Online,J,29,SINGAPORE,27,6.75,M,30
C2B,Premium,Online,J,164,SINGAPORE,69.55,17.39,M,26
C2B,Premium,Online,J,23,SINGAPORE,30.55,7.64,F,35
C2B,Premium,Online,R,13,SINGAPORE,19.5,4.88,M,34
C2B,Premium,Online,R,29,SINGAPORE,31.85,7.96,M,45
C2B,Premium,Online,N,23,SINGAPORE,77.35,19.34,F,52
CWT,Basic,Online,Q,23,MALAYSIA,29.7,17.82,,31
CWT,Basic,Online,Q,29,AUSTRALIA,39.6,23.76,,52
CWT,Basic,Online,Q,5,MALAYSIA,0,29.7,,53
CWT,Basic,Online,Q,26,UNITED STATES,148.5,89.1,,40
